2025-12-09 13:56:31,661 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:56:31,661 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:56:31,661 | INFO | __main__ | Runtime: 0.18 seconds
2025-12-09 13:57:41,802 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 13:57:41,802 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 13:57:41,802 | INFO | __main__ | Loaded (raw): 99
2025-12-09 13:57:41,802 | INFO | __main__ | Valid after cast: 81
2025-12-09 13:57:41,802 | INFO | __main__ | Rejected rows: 18
2025-12-09 13:57:41,802 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:57:41,802 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:57:41,802 | INFO | __main__ | Runtime: 0.16 seconds
2025-12-09 14:03:46,607 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 14:03:46,608 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 14:03:46,608 | INFO | __main__ | Loaded (raw): 3400
2025-12-09 14:03:46,608 | INFO | __main__ | Valid after cast: 2487
2025-12-09 14:03:46,608 | INFO | __main__ | Rejected rows: 913
2025-12-09 14:03:46,608 | INFO | __main__ | Valid after rules: 2487
2025-12-09 14:03:46,608 | INFO | __main__ | Loaded into DB: 2485
2025-12-09 14:03:46,608 | INFO | __main__ | Runtime: 1.56 seconds
2025-12-09 21:16:32,568 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 21:16:32,568 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 21:16:32,568 | INFO | __main__ | Loaded (raw): 3400
2025-12-09 21:16:32,568 | INFO | __main__ | Valid after cast: 2487
2025-12-09 21:16:32,568 | INFO | __main__ | Rejected rows: 913
2025-12-09 21:16:32,568 | INFO | __main__ | Valid after rules: 2487
2025-12-09 21:16:32,568 | INFO | __main__ | Loaded into DB: 2485
2025-12-09 21:16:32,568 | INFO | __main__ | Runtime: 2.36 seconds
2025-12-09 21:58:52,530 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 21:58:52,530 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 21:58:52,530 | INFO | __main__ | Loaded (raw): 3400
2025-12-09 21:58:52,530 | INFO | __main__ | Valid after cast: 2487
2025-12-09 21:58:52,530 | INFO | __main__ | Rejected rows: 913
2025-12-09 21:58:52,530 | INFO | __main__ | Valid after rules: 2487
2025-12-09 21:58:52,530 | INFO | __main__ | Loaded into DB: 2485
2025-12-09 21:58:52,530 | INFO | __main__ | Runtime: 0.39 seconds
2025-12-10 18:39:05,747 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-10 18:39:05,748 | INFO | __main__ | Source: fashion_sales_csv
2025-12-10 18:39:05,748 | INFO | __main__ | Loaded (raw): 3400
2025-12-10 18:39:05,748 | INFO | __main__ | Valid after cast: 2487
2025-12-10 18:39:05,748 | INFO | __main__ | Rejected rows: 913
2025-12-10 18:39:05,748 | INFO | __main__ | Valid after rules: 2487
2025-12-10 18:39:05,748 | INFO | __main__ | Loaded into DB: 2485
2025-12-10 18:39:05,748 | INFO | __main__ | Runtime: 1.33 seconds
